team,sport,wins,losses,pct,source,players
Abbott Tech,girls-basketball,10,13,0.435,ciac,[]
Abbott Tech,boys-basketball,21,4,0.84,ciac,[]
Achievement First,boys-basketball,2,17,0.105,ciac,[]
Aerospace,boys-basketball,17,6,0.739,ciac,[]
Albany High School,girls-basketball,0,0,0.0,none,[]
Amistad,boys-basketball,8,13,0.381,ciac,[]
Amistad,girls-basketball,1,19,0.05,ciac,[]
Amity,girls-basketball,11,10,0.524,ciac,[]
Amity,boys-basketball,11,12,0.478,ciac,[]
Ansonia,girls-basketball,19,3,0.864,ciac,[]
Ansonia,boys-basketball,15,9,0.625,ciac,[]
Archbishop Molloy High School,boys-basketball,0,0,0.0,none,[]
Avon,girls-basketball,11,12,0.478,ciac,[]
Avon,boys-basketball,5,15,0.25,ciac,[]
Bacon Academy,boys-basketball,6,14,0.3,ciac,[]
Bacon Academy,girls-basketball,3,17,0.15,ciac,[]
Barnstable High School,boys-basketball,0,0,0.0,none,[]
Barrington High School,boys-basketball,0,0,0.0,none,[]
Bassick,boys-basketball,11,10,0.524,ciac,[]
Bassick,girls-basketball,9,11,0.45,ciac,[]
Berlin,boys-basketball,11,11,0.5,ciac,[]
Berlin,girls-basketball,9,12,0.429,ciac,[]
Bethel,girls-basketball,18,6,0.75,ciac,[]
Bethel,boys-basketball,15,7,0.682,ciac,[]
Bishop Guertin High School,girls-basketball,0,0,0.0,none,[]
Bishop Hendricken High School,boys-basketball,0,0,0.0,none,[]
Bloomfield,boys-basketball,15,9,0.625,ciac,[]
Bolton,girls-basketball,11,10,0.524,ciac,[]
Bolton,boys-basketball,2,18,0.1,ciac,[]
Branford,boys-basketball,9,13,0.409,ciac,[]
Branford,girls-basketball,6,16,0.273,ciac,[]
Brattleboro UHS,girls-basketball,0,0,0.0,none,[]
Bridgeport Central,girls-basketball,6,15,0.286,ciac,[]
Bridgeport Central,boys-basketball,11,10,0.524,ciac,[]
Brien McMahon,boys-basketball,11,10,0.524,ciac,[]
Brien McMahon,girls-basketball,4,16,0.2,ciac,[]
Bristol Central,boys-basketball,8,13,0.381,ciac,[]
Bristol Central,girls-basketball,18,4,0.818,ciac,[]
Bristol Eastern,boys-basketball,8,13,0.381,ciac,[]
Bristol Eastern,girls-basketball,11,11,0.5,ciac,[]
Brookfield,girls-basketball,15,8,0.652,ciac,[]
Brookfield,boys-basketball,0,20,0.0,ciac,[]
Bulkeley,boys-basketball,3,17,0.15,ciac,[]
Bullard Havens Tech,girls-basketball,11,10,0.524,ciac,[]
Bullard Havens Tech,boys-basketball,11,10,0.524,ciac,[]
Bunnell,boys-basketball,18,4,0.818,ciac,[]
Bunnell,girls-basketball,11,12,0.478,ciac,[]
Burke High School,boys-basketball,0,0,0.0,none,[]
CROWLEY North Crowley High Sch,boys-basketball,0,0,0.0,none,[]
Canton,girls-basketball,16,7,0.696,ciac,[]
Canton,boys-basketball,8,13,0.381,ciac,[]
Capital Prep,girls-basketball,2,13,0.133,ciac,[]
Capital Prep,boys-basketball,8,14,0.364,ciac,[]
Career Magnet,boys-basketball,11,12,0.478,ciac,[]
Career Magnet,girls-basketball,9,13,0.409,ciac,[]
Central HS,boys-basketball,0,0,0.0,none,[]
Cheney Tech,boys-basketball,9,11,0.45,ciac,[]
Cheney Tech,girls-basketball,14,9,0.609,ciac,[]
Cheshire,girls-basketball,4,16,0.2,ciac,[]
Cheshire,boys-basketball,5,15,0.25,ciac,[]
Chicopee Comprehensive High Sc,girls-basketball,0,0,0.0,none,[]
